zip,Under 5 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female,Male,Total
10309,969.0,859.0,257.0,128.0,389.0,557.0,756.0,1000.0,1095.0,1276.0,1086.0,1111.0,1447.0,1113.0,381.0,503.0,232.0,359.0,636.0,251.0,117.0,104.0,16416.0,16769.0,33185.0,780.0
10310,1023.0,625.0,331.0,113.0,141.0,463.0,837.0,953.0,718.0,819.0,940.0,958.0,922.0,699.0,275.0,403.0,152.0,228.0,344.0,199.0,169.0,134.0,12411.0,11983.0,24394.0,883.0
10311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10312,2197.0,1306.0,831.0,415.0,334.0,1245.0,1826.0,1842.0,1827.0,2058.0,2468.0,1437.0,2066.0,2004.0,897.0,1134.0,907.0,1019.0,1464.0,912.0,444.0,230.0,31974.0,30058.0,62032.0,1505.0
10314,2679.0,1598.0,786.0,561.0,661.0,1333.0,2945.0,2557.0,2652.0,2796.0,3057.0,1983.0,3042.0,3083.0,1162.0,1493.0,1011.0,1474.0,1638.0,1041.0,664.0,545.0,45625.0,41975.0,87600.0,2371.0
10451,1601.0,1018.0,954.0,685.0,264.0,1251.0,2008.0,1705.0,2020.0,1270.0,1877.0,1652.0,1111.0,1042.0,563.0,477.0,234.0,539.0,853.0,489.0,160.0,203.0,26865.0,21323.0,48188.0,2050.0
10452,3171.0,1682.0,1344.0,448.0,607.0,1629.0,2940.0,2656.0,2835.0,2451.0,2699.0,3211.0,2142.0,1929.0,831.0,483.0,383.0,472.0,912.0,315.0,220.0,68.0,40365.0,35194.0,75559.0,3056.0
10453,2649.0,1893.0,1165.0,650.0,620.0,1812.0,3845.0,2535.0,2648.0,2534.0,3029.0,2903.0,2372.0,1706.0,976.0,906.0,453.0,701.0,891.0,359.0,69.0,106.0,43350.0,36731.0,80081.0,3198.0
10454,1798.0,937.0,809.0,306.0,461.0,1068.0,1524.0,1231.0,1589.0,986.0,1405.0,1618.0,866.0,750.0,303.0,262.0,177.0,237.0,503.0,330.0,256.0,29.0,20305.0,18707.0,39012.0,1669.0
10455,1793.0,943.0,512.0,316.0,265.0,970.0,1744.0,1795.0,1628.0,1053.0,1303.0,1814.0,1077.0,694.0,522.0,341.0,185.0,482.0,619.0,229.0,76.0,82.0,21467.0,20142.0,41609.0,1642.0
